2026-01-29 14:49:56,31.30,51.00
2026-01-29 14:50:01,31.30,51.00
2026-01-29 14:50:06,31.30,51.00
2026-01-29 14:50:11,31.30,51.00
2026-01-29 14:50:16,31.30,51.00
2026-01-29 14:50:21,31.60,51.00
2026-01-29 14:50:26,31.80,51.00
2026-01-29 14:50:31,31.80,51.00
2026-01-29 14:50:36,31.80,51.00
2026-01-29 14:50:41,31.80,52.00
2026-01-29 14:50:47,31.80,52.00
2026-01-29 14:50:52,31.80,52.00
2026-01-29 14:50:57,31.80,52.00
2026-01-29 14:51:02,31.80,52.00
2026-01-29 14:51:07,31.80,52.00
2026-01-29 14:51:12,31.80,52.00
2026-01-29 14:51:17,31.80,52.00
2026-01-29 14:51:22,31.80,52.00
2026-01-29 14:51:27,31.80,52.00
2026-01-29 14:51:32,31.80,52.00
2026-01-29 14:51:37,31.80,51.00
2026-01-29 14:51:42,31.80,51.00
2026-01-29 14:51:47,31.80,51.00
2026-01-29 14:51:52,31.80,51.00
2026-01-29 14:51:57,31.80,51.00
2026-01-29 14:52:02,31.80,51.00
2026-01-29 14:52:07,31.80,51.00
